# classes	precision	recall	fbeta
Masters	0.87838	0.33854	1.00000
HS-grad	0.54237	0.19277	1.00000
Some-college	0.71429	0.22569	1.00000
Bachelors	0.87597	0.25336	1.00000
10th	0.62500	0.45455	1.00000
7th-8th	0.28571	0.16667	1.00000
Doctorate	0.90909	0.30769	1.00000
Assoc-acdm	0.61538	0.16000	1.00000
Assoc-voc	0.62963	0.23944	1.00000
12th	0.66667	0.66667	1.00000
9th	0.00000	0.00000	1.00000
11th	0.61538	0.53333	1.00000
Prof-school	0.96970	0.40000	1.00000
1st-4th	0.25000	0.50000	1.00000
5th-6th	0.25000	0.50000	1.00000
Preschool	1.00000	1.00000	1.00000
