# classes	precision	recall	fbeta
?	0.81818	0.30000	0.00000
United-States	0.74257	0.25862	0.00000
Laos	1.00000	1.00000	0.00000
Vietnam	0.50000	0.50000	0.00000
Mexico	0.50000	0.12500	0.00000
China	0.00000	0.00000	0.00000
Philippines	0.66667	0.14286	0.00000
Germany	1.00000	0.00000	0.00000
Dominican-Republic	1.00000	1.00000	0.00000
Haiti	1.00000	1.00000	0.00000
El-Salvador	0.00000	0.00000	0.00000
Puerto-Rico	1.00000	0.66667	0.00000
Poland	1.00000	0.50000	0.00000
South	0.50000	1.00000	0.00000
India	0.80000	0.40000	0.00000
Taiwan	1.00000	0.40000	0.00000
Jamaica	1.00000	0.00000	0.00000
Canada	0.33333	0.16667	0.00000
Columbia	1.00000	1.00000	0.00000
Ireland	1.00000	0.00000	0.00000
Peru	1.00000	1.00000	0.00000
Scotland	1.00000	1.00000	0.00000
Cambodia	1.00000	0.00000	0.00000
England	0.50000	0.14286	0.00000
Trinadad&Tobago	1.00000	0.00000	0.00000
Guatemala	1.00000	1.00000	0.00000
Honduras	1.00000	1.00000	0.00000
Japan	1.00000	0.33333	0.00000
Italy	0.50000	0.20000	0.00000
Hungary	1.00000	0.00000	0.00000
Yugoslavia	1.00000	1.00000	0.00000
Cuba	1.00000	0.00000	0.00000
Iran	1.00000	0.00000	0.00000
Ecuador	1.00000	0.00000	0.00000
Portugal	1.00000	1.00000	0.00000
France	1.00000	0.00000	0.00000
Hong	1.00000	0.00000	0.00000
Thailand	1.00000	1.00000	0.00000
Greece	1.00000	1.00000	0.00000
Nicaragua	1.00000	0.00000	0.00000
